Documento 0:
Índice	Término			TF	IDF	TF-IDF
173	footprint		0	1.00000	0.00000	
174	has			0	1.00000	0.00000	
175	great			0	1.00000	0.00000	
176	depth			0	1.00000	0.00000	
177	flavor			0	1.00000	0.00000	
178	its			0	1.00000	0.00000	
179	pear			0	1.00000	0.00000	
180	touch			0	1.00000	0.00000	
181	drink			0	1.00000	0.00000	
182	now			0	1.00000	0.00000	


Documento 1:
Índice	Término			TF	IDF	TF-IDF
0	aromas			0	0.39794	0.00000	
1	include			0	1.00000	0.00000	
2	tropical		0	1.00000	0.00000	
3	fruit			0	0.69897	0.00000	
4	broom			0	1.00000	0.00000	
5	brimstone		0	1.00000	0.00000	
6	and			2	0.00000	0.00000	
7	dried			0	0.69897	0.00000	
8	herb			0	0.69897	0.00000	
9	the			0	0.22185	0.00000	
10	palate			0	0.52288	0.00000	
11	isn't			0	1.00000	0.00000	
12	overly			0	1.00000	0.00000	
13	expressive		0	1.00000	0.00000	
14	offering		0	1.00000	0.00000	
15	unripened		0	1.00000	0.00000	
16	apple			0	0.69897	0.00000	
17	citrus			0	1.00000	0.00000	
18	sage			0	1.00000	0.00000	
19	alongside		0	1.00000	0.00000	
20	brisk			0	0.69897	0.00000	
21	acidity			1	0.15490	0.15490	
22	this			1	0.22185	0.22185	
23	is			2	0.52288	1.04576	
24	ripe			1	1.00000	1.00000	
25	fruity			1	0.69897	0.69897	
26	a			1	0.15490	0.15490	
27	wine			1	0.30103	0.30103	
28	that			1	0.69897	0.69897	
29	smooth			1	1.00000	1.00000	
30	while			1	0.52288	0.52288	
31	still			1	1.00000	1.00000	
32	structured		1	1.00000	1.00000	
33	firm			1	0.69897	0.69897	
34	tannins			1	0.69897	0.69897	
35	are			1	1.00000	1.00000	
36	filled			1	1.00000	1.00000	
37	out			1	1.00000	1.00000	
38	with			2	0.04576	0.09152	
39	juicy			1	1.00000	1.00000	
40	red			1	0.69897	0.69897	
41	berry			1	0.69897	0.69897	
42	fruits			1	0.69897	0.69897	
43	freshened		1	1.00000	1.00000	
44	it's			1	0.22185	0.22185	
45	already			1	1.00000	1.00000	
46	drinkable		1	1.00000	1.00000	
47	although		1	1.00000	1.00000	
48	it			1	0.69897	0.69897	
49	will			1	1.00000	1.00000	
50	certainly		1	1.00000	1.00000	
51	be			1	1.00000	1.00000	
52	better			1	1.00000	1.00000	
53	from			1	0.69897	0.69897	
54	2016			1	1.00000	1.00000	
55	tart			0	1.00000	0.00000	
56	snappy			0	1.00000	0.00000	
57	flavors			0	0.52288	0.00000	
58	of			0	0.15490	0.00000	
59	lime			0	1.00000	0.00000	
60	flesh			0	1.00000	0.00000	
61	rind			0	0.69897	0.00000	
62	dominate		0	1.00000	0.00000	
63	some			0	1.00000	0.00000	
64	green			0	0.69897	0.00000	
65	pineapple		0	0.69897	0.00000	
66	pokes			0	1.00000	0.00000	
67	through			0	1.00000	0.00000	
68	crisp			0	0.69897	0.00000	
69	underscoring		0	1.00000	0.00000	
70	was			0	1.00000	0.00000	
71	all			0	1.00000	0.00000	
72	stainless-steel		0	1.00000	0.00000	
73	fermented		0	1.00000	0.00000	
74	lemon			0	1.00000	0.00000	
75	pith			0	1.00000	0.00000	
76	orange			0	1.00000	0.00000	
77	blossom			0	1.00000	0.00000	
78	start			0	1.00000	0.00000	
79	off			0	0.69897	0.00000	
80	bit			0	1.00000	0.00000	
81	more			0	1.00000	0.00000	
82	opulent			0	1.00000	0.00000	
83	notes			0	0.69897	0.00000	
84	honey-drizzled		0	1.00000	0.00000	
