Documento 0:
Índice	Término			TF	IDF	TF-IDF
110	touch			0.02439	1.00000	0.02439	
111	bitterness		0.02439	1.00000	0.02439	
112	on			0.02439	0.69897	0.01705	
113	finish			0.02439	0.60206	0.01468	
2	fruit			0.02439	0.30103	0.00734	
114	just			0.02439	1.30103	0.03173	
115	passes			0.02439	1.30103	0.03173	
116	ripeness		0.02439	1.30103	0.03173	
117	sweet			0.02439	0.69897	0.01705	
118	tomatoes		0.02439	1.30103	0.03173	


Documento 6:
Índice	Término			TF	IDF	TF-IDF
119	white			0.01961	0.82391	0.01616	
120	flower			0.01961	1.30103	0.02551	
121	lychee			0.01961	1.30103	0.02551	
17	and			0.07843	0.02228	0.00175	
122	apple			0.01961	1.30103	0.02551	
46	aromas			0.01961	0.60206	0.01181	
123	carry			0.01961	1.30103	0.02551	
21	the			0.09804	0.22185	0.02175	
124	mellow			0.01961	1.30103	0.02551	
125	bouquet			0.01961	1.30103	0.02551	
126	chunky-feeling		0.01961	1.30103	0.02551	
127	palate			0.01961	0.60206	0.01181	
128	bears			0.01961	1.30103	0.02551	
129	powdery			0.01961	1.30103	0.02551	
117	sweet			0.01961	0.69897	0.01371	
61	flavors			0.01961	0.39794	0.00780	
35	of			0.05882	0.09691	0.00570	
130	peach			0.01961	1.30103	0.02551	
131	melon			0.01961	1.30103	0.02551	
132	mixed			0.01961	1.30103	0.02551	
5	with			0.03922	0.15490	0.00607	
133	greener			0.01961	1.30103	0.02551	
85	notes			0.01961	0.52288	0.01025	
53	grass			0.01961	1.00000	0.01961	
134	lime			0.01961	1.30103	0.02551	
135	80%			0.01961	1.30103	0.02551	
136	viognier		0.01961	1.30103	0.02551	
137	component		0.01961	1.30103	0.02551	
36	is			0.01961	0.22185	0.00435	
138	typical			0.01961	1.30103	0.02551	
139	warm			0.01961	1.30103	0.02551	
140	climate:		0.01961	1.30103	0.02551	
141	plump			0.01961	1.00000	0.01961	
142	oily			0.01961	1.30103	0.02551	
74	a			0.01961	0.15490	0.00304	
143	short			0.01961	1.30103	0.02551	
113	finish			0.01961	0.60206	0.01181	
144	chardonnay		0.01961	1.30103	0.02551	
145	fills			0.01961	1.30103	0.02551	
146	out			0.01961	1.00000	0.01961	
44	blend			0.01961	0.82391	0.01616	


Documento 7:
Índice	Término			TF	IDF	TF-IDF
9	this			0.04000	0.04576	0.00183	
147	concentrated		0.04000	1.30103	0.05204	
71	cabernet		0.04000	1.00000	0.04000	
148	offers			0.04000	1.00000	0.04000	
46	aromas			0.04000	0.60206	0.02408	
35	of			0.04000	0.09691	0.00388	
149	cured			0.04000	1.30103	0.05204	
29	meat			0.04000	1.00000	0.04000	
150	dried			0.04000	1.30103	0.05204	
2	fruit			0.04000	0.30103	0.01204	
17	and			0.08000	0.02228	0.00178	
151	rosemary		0.04000	1.30103	0.05204	
152	barbecue		0.04000	1.30103	0.05204	
153	spice			0.04000	1.30103	0.05204	
154	teriyaki		0.04000	1.30103	0.05204	
30	sauce			0.04000	1.00000	0.04000	
61	flavors			0.04000	0.39794	0.01592	
155	give			0.04000	1.30103	0.05204	
21	the			0.04000	0.22185	0.00887	
11	wine			0.04000	0.25964	0.01039	
74	a			0.04000	0.15490	0.00620	
156	bold			0.04000	1.30103	0.05204	
157	chewy			0.04000	1.30103	0.05204	
158	feel			0.04000	1.30103	0.05204	


Documento 8:
Índice	Término			TF	IDF	TF-IDF
159	inky			0.04167	1.30103	0.05421	
56	in			0.04167	1.00000	0.04167	
160	color			0.04167	1.30103	0.05421	
9	this			0.04167	0.04576	0.00191	
11	wine			0.04167	0.25964	0.01082	
64	has			0.04167	0.69897	0.02912	
141	plump			0.04167	1.00000	0.04167	
46	aromas			0.04167	0.60206	0.02509	
35	of			0.04167	0.09691	0.00404	
59	ripe			0.04167	0.69897	0.02912	
2	fruit			0.04167	0.30103	0.01254	
161	blackberry		0.04167	1.30103	0.05421	
162	jam			0.04167	1.30103	0.05421	
17	and			0.08333	0.02228	0.00186	
163	rum			0.04167	1.30103	0.05421	
164	cake			0.04167	1.30103	0.05421	
112	on			0.04167	0.69897	0.02912	
21	the			0.04167	0.22185	0.00924	
127	palate			0.04167	0.60206	0.02509	
58	it			0.04167	0.60206	0.02509	
36	is			0.04167	0.22185	0.00924	
165	soft			0.04167	0.82391	0.03433	
166	smooth			0.04167	1.30103	0.05421	


Documento 9:
Índice	Término			TF	IDF	TF-IDF
39	part			0.02326	1.00000	0.02326	
35	of			0.04651	0.09691	0.00451	
21	the			0.09302	0.22185	0.02064	
167	natural			0.02326	1.30103	0.03026	
11	wine			0.04651	0.25964	0.01208	
168	movement		0.02326	1.30103	0.03026	
9	this			0.02326	0.04576	0.00106	
36	is			0.06977	0.22185	0.01548	
69	made			0.02326	1.00000	0.02326	
70	from			0.02326	1.00000	0.02326	
169	organic			0.02326	1.30103	0.03026	
170	grapes			0.02326	1.30103	0.03026	
17	and			0.04651	0.02228	0.00104	
171	label			0.02326	1.30103	0.03026	
172	printed			0.02326	1.30103	0.03026	
5	with			0.04651	0.15490	0.00720	
173	vegetable		0.02326	1.30103	0.03026	
174	ink			0.02326	1.30103	0.03026	
112	on			0.04651	0.69897	0.03251	
175	recycled		0.02326	1.30103	0.03026	
176	paper			0.02326	1.30103	0.03026	
34	quality			0.02326	1.00000	0.02326	
2	fruit			0.02326	0.30103	0.00700	
177	very			0.02326	1.30103	0.03026	
178	nice			0.02326	1.30103	0.03026	
74	a			0.04651	0.15490	0.00720	
14	juicy			0.02326	0.82391	0.01916	
127	palate			0.02326	0.60206	0.01400	
10	bright			0.02326	0.82391	0.01916	
179	berry			0.02326	0.69897	0.01626	
78	flavor			0.02326	0.60206	0.01400	
113	finish			0.02326	0.60206	0.01400	


Documento 10:
Índice	Término			TF	IDF	TF-IDF
180	catarratto		0.04167	1.30103	0.05421	
36	is			0.04167	0.22185	0.00924	
181	one			0.04167	1.30103	0.05421	
35	of			0.04167	0.09691	0.00404	
182	sicily's		0.04167	1.30103	0.05421	
183	most			0.04167	1.30103	0.05421	
184	widely			0.04167	1.30103	0.05421	
185	farmed			0.04167	1.30103	0.05421	
119	white			0.04167	0.82391	0.03433	
186	grape			0.04167	1.30103	0.05421	
187	varieties		0.04167	1.30103	0.05421	
9	this			0.04167	0.04576	0.00191	
188	expression		0.04167	1.30103	0.05421	
45	shows			0.04167	0.82391	0.03433	
74	a			0.04167	0.15490	0.00645	
189	mineral			0.04167	1.00000	0.04167	
190	note			0.04167	1.30103	0.05421	
49	backed			0.04167	1.00000	0.04167	
50	by			0.04167	0.69897	0.02912	
191	citrus			0.04167	0.82391	0.03433	
17	and			0.04167	0.02228	0.00093	
192	almond			0.04167	1.30103	0.05421	
193	blossom			0.04167	1.30103	0.05421	
51	touches			0.04167	1.00000	0.04167	


Documento 11:
Índice	Término			TF	IDF	TF-IDF
74	a			0.07143	0.15490	0.01106	
194	stiff			0.03571	1.30103	0.04647	
195	tannic			0.03571	1.30103	0.04647	
11	wine			0.03571	0.25964	0.00927	
9	this			0.03571	0.04576	0.00163	
196	slowly			0.03571	1.30103	0.04647	
197	opens			0.03571	1.30103	0.04647	
17	and			0.03571	0.02228	0.00080	
198	brings			0.03571	1.30103	0.04647	
199	brambly			0.03571	1.30103	0.04647	
179	berry			0.03571	0.69897	0.02496	
61	flavors			0.03571	0.39794	0.01421	
200	into			0.03571	1.30103	0.04647	
201	play			0.03571	1.30103	0.04647	
202	along			0.03571	1.30103	0.04647	
5	with			0.03571	0.15490	0.00553	
85	notes			0.03571	0.52288	0.01867	
35	of			0.07143	0.09691	0.00692	
203	earthy			0.03571	1.30103	0.04647	
204	herbs			0.03571	1.30103	0.04647	
205	there's			0.03571	1.30103	0.04647	
110	touch			0.03571	1.00000	0.03571	
111	bitterness		0.03571	1.00000	0.03571	
80	to			0.03571	0.82391	0.02943	
21	the			0.03571	0.22185	0.00792	
7	tannins			0.03571	0.69897	0.02496	


Documento 12:
Índice	Término			TF	IDF	TF-IDF
9	this			0.06250	0.04576	0.00286	
36	is			0.06250	0.22185	0.01387	
74	a			0.12500	0.15490	0.01936	
206	festive			0.06250	1.30103	0.08131	
11	wine			0.06250	0.25964	0.01623	
5	with			0.06250	0.15490	0.00968	
165	soft			0.06250	0.82391	0.05149	
59	ripe			0.06250	0.69897	0.04369	
2	fruit			0.06250	0.30103	0.01881	
17	and			0.06250	0.02228	0.00139	
95	acidity			0.06250	0.82391	0.05149	
207	plus			0.06250	1.30103	0.08131	
0	red			0.06250	0.82391	0.05149	
179	berry			0.06250	0.69897	0.04369	
78	flavor			0.06250	0.60206	0.03763	


Documento 13:
Índice	Término			TF	IDF	TF-IDF
21	the			0.04762	0.22185	0.01056	
37	clean			0.02381	0.82391	0.01962	
208	brisk			0.02381	1.30103	0.03098	
209	mouthfeel		0.02381	1.30103	0.03098	
210	gives			0.02381	1.30103	0.03098	
9	this			0.04762	0.04576	0.00218	
211	slightly		0.02381	1.30103	0.03098	
212	oaked			0.02381	1.30103	0.03098	
73	sauvignon		0.02381	0.69897	0.01664	
83	blanc			0.02381	0.82391	0.01962	
213	instant			0.02381	1.30103	0.03098	
214	likeability		0.02381	1.30103	0.03098	
215	it's			0.02381	1.30103	0.03098	
63	dry			0.02381	1.00000	0.02381	
5	with			0.07143	0.15490	0.01106	
74	a			0.04762	0.15490	0.00738	
216	rich			0.02381	1.30103	0.03098	
217	streak			0.02381	1.30103	0.03098	
35	of			0.02381	0.09691	0.00231	
89	honey			0.02381	0.82391	0.01962	
25	that			0.02381	0.60206	0.01433	
218	sweetens		0.02381	1.30103	0.03098	
191	citrus			0.02381	0.82391	0.01962	
219	pear			0.02381	1.30103	0.03098	
17	and			0.02381	0.02228	0.00053	
87	tropical		0.02381	1.00000	0.02381	
2	fruit			0.02381	0.30103	0.00717	
61	flavors			0.02381	0.39794	0.00947	
27	pair			0.02381	0.69897	0.01664	
220	asian			0.02381	1.30103	0.03098	
221	fare			0.02381	1.30103	0.03098	
222	ham			0.02381	1.30103	0.03098	
31	or			0.02381	0.82391	0.01962	
76	green			0.02381	1.00000	0.02381	
223	salad			0.02381	1.30103	0.03098	
224	grapefruit		0.02381	1.00000	0.02381	
225	sections		0.02381	1.30103	0.03098	


Documento 14:
Índice	Término			TF	IDF	TF-IDF
74	a			0.07692	0.15490	0.01192	
179	berry			0.03846	0.69897	0.02688	
226	aroma			0.03846	1.30103	0.05004	
3	comes			0.03846	1.00000	0.03846	
5	with			0.07692	0.15490	0.01192	
227	cola			0.03846	1.30103	0.05004	
17	and			0.15385	0.02228	0.00343	
105	herb			0.03846	1.00000	0.03846	
85	notes			0.03846	0.52288	0.02011	
21	the			0.03846	0.22185	0.00853	
127	palate			0.03846	0.60206	0.02316	
36	is			0.03846	0.22185	0.00853	
228	tangy			0.03846	1.30103	0.05004	
229	racy			0.03846	1.30103	0.05004	
58	it			0.03846	0.60206	0.02316	
230	delivers		0.03846	1.30103	0.05004	
231	raspberry		0.03846	1.30103	0.05004	
232	plum			0.03846	1.30103	0.05004	
61	flavors			0.03846	0.39794	0.01531	
233	modest			0.03846	1.30103	0.05004	
113	finish			0.03846	0.60206	0.02316	


Documento 15:
Índice	Término			TF	IDF	TF-IDF
234	right			0.02128	1.30103	0.02768	
146	out			0.02128	1.00000	0.02128	
35	of			0.04255	0.09691	0.00412	
21	the			0.08511	0.22185	0.01888	
235	starting		0.02128	1.30103	0.02768	
236	blocks			0.02128	1.30103	0.02768	
9	this			0.02128	0.04576	0.00097	
36	is			0.04255	0.22185	0.00944	
12	an			0.04255	0.82391	0.03506	
237	oaky			0.02128	1.30103	0.02768	
11	wine			0.02128	0.25964	0.00552	
238	dripping		0.02128	1.30103	0.02768	
5	with			0.04255	0.15490	0.00659	
239	caramel			0.02128	1.30103	0.02768	
17	and			0.06383	0.02228	0.00142	
240	vanilla			0.02128	1.00000	0.02128	
85	notes			0.02128	0.52288	0.01113	
241	texture			0.02128	1.30103	0.02768	
112	on			0.02128	0.69897	0.01487	
242	midpalate		0.02128	1.30103	0.02768	
243	finessed		0.02128	1.30103	0.02768	
244	graceful		0.02128	1.30103	0.02768	
245	drying			0.02128	1.00000	0.02128	
7	tannins			0.02128	0.69897	0.01487	
25	that			0.02128	0.60206	0.01281	
246	latch			0.02128	1.30103	0.02768	
247	onto			0.02128	1.30103	0.02768	
248	oak-driven		0.02128	1.30103	0.02768	
113	finish			0.02128	0.60206	0.01281	
249	eccentric		0.02128	1.30103	0.02768	
44	blend			0.02128	0.82391	0.01753	
250	50%			0.02128	1.30103	0.02768	
251	tannat			0.02128	1.30103	0.02768	
252	35%			0.02128	1.30103	0.02768	
253	petit			0.02128	1.30103	0.02768	
254	verdot			0.02128	1.30103	0.02768	
255	15%			0.02128	1.30103	0.02768	
256	pinotage		0.02128	1.30103	0.02768	


Documento 16:
Índice	Término			TF	IDF	TF-IDF
257	spicy			0.04000	1.30103	0.05204	
258	fresh			0.04000	1.30103	0.05204	
17	and			0.04000	0.02228	0.00089	
