Documento 0:
Índice	Término			TF	IDF	TF-IDF
0	aromas			0.04167	0.39794	0.01658	
1	include			0.04167	1.00000	0.04167	
2	tropical		0.04167	1.00000	0.04167	
3	fruit			0.04167	0.69897	0.02912	
4	broom			0.04167	1.00000	0.04167	
5	brimstone		0.04167	1.00000	0.04167	
6	and			0.08333	0.00000	0.00000	
7	dried			0.08333	0.69897	0.05825	
8	herb			0.04167	0.69897	0.02912	
9	the			0.04167	0.22185	0.00924	
10	palate			0.04167	0.52288	0.02179	
11	isn't			0.04167	1.00000	0.04167	
12	overly			0.04167	1.00000	0.04167	
13	expressive		0.04167	1.00000	0.04167	
14	offering		0.04167	1.00000	0.04167	
15	unripened		0.04167	1.00000	0.04167	
16	apple			0.04167	0.69897	0.02912	
17	citrus			0.04167	1.00000	0.04167	
18	sage			0.04167	1.00000	0.04167	
19	alongside		0.04167	1.00000	0.04167	
20	brisk			0.04167	0.69897	0.02912	
21	acidity			0.04167	0.15490	0.00645	


Documento 1:
Índice	Término			TF	IDF	TF-IDF
22	this			0.02632	0.22185	0.00584	
23	is			0.05263	0.52288	0.02752	
24	ripe			0.02632	1.00000	0.02632	
6	and			0.05263	0.00000	0.00000	
25	fruity			0.02632	0.69897	0.01839	
26	a			0.02632	0.15490	0.00408	
27	wine			0.02632	0.30103	0.00792	
28	that			0.02632	0.69897	0.01839	
29	smooth			0.02632	1.00000	0.02632	
30	while			0.02632	0.52288	0.01376	
31	still			0.02632	1.00000	0.02632	
32	structured		0.02632	1.00000	0.02632	
33	firm			0.02632	0.69897	0.01839	
34	tannins			0.02632	0.69897	0.01839	
35	are			0.02632	1.00000	0.02632	
36	filled			0.02632	1.00000	0.02632	
37	out			0.02632	1.00000	0.02632	
38	with			0.05263	0.04576	0.00241	
39	juicy			0.02632	1.00000	0.02632	
40	red			0.02632	0.69897	0.01839	
41	berry			0.02632	0.69897	0.01839	
42	fruits			0.02632	0.69897	0.01839	
43	freshened		0.02632	1.00000	0.02632	
21	acidity			0.02632	0.15490	0.00408	
44	it's			0.02632	0.22185	0.00584	
45	already			0.02632	1.00000	0.02632	
46	drinkable		0.02632	1.00000	0.02632	
47	although		0.02632	1.00000	0.02632	
48	it			0.02632	0.69897	0.01839	
49	will			0.02632	1.00000	0.02632	
50	certainly		0.02632	1.00000	0.02632	
51	be			0.02632	1.00000	0.02632	
52	better			0.02632	1.00000	0.02632	
53	from			0.02632	0.69897	0.01839	
54	2016			0.02632	1.00000	0.02632	


Documento 2:
Índice	Término			TF	IDF	TF-IDF
55	tart			0.03571	1.00000	0.03571	
6	and			0.07143	0.00000	0.00000	
56	snappy			0.03571	1.00000	0.03571	
9	the			0.10714	0.22185	0.02377	
57	flavors			0.07143	0.52288	0.03735	
58	of			0.03571	0.15490	0.00553	
59	lime			0.03571	1.00000	0.03571	
60	flesh			0.03571	1.00000	0.03571	
61	rind			0.03571	0.69897	0.02496	
62	dominate		0.03571	1.00000	0.03571	
63	some			0.03571	1.00000	0.03571	
64	green			0.03571	0.69897	0.02496	
65	pineapple		0.03571	0.69897	0.02496	
66	pokes			0.03571	1.00000	0.03571	
67	through			0.03571	1.00000	0.03571	
38	with			0.03571	0.04576	0.00163	
68	crisp			0.03571	0.69897	0.02496	
21	acidity			0.03571	0.15490	0.00553	
69	underscoring		0.03571	1.00000	0.03571	
27	wine			0.03571	0.30103	0.01075	
70	was			0.03571	1.00000	0.03571	
71	all			0.03571	1.00000	0.03571	
72	stainless-steel		0.03571	1.00000	0.03571	
73	fermented		0.03571	1.00000	0.03571	


Documento 3:
Índice	Término			TF	IDF	TF-IDF
65	pineapple		0.03030	0.69897	0.02118	
61	rind			0.03030	0.69897	0.02118	
74	lemon			0.03030	1.00000	0.03030	
75	pith			0.03030	1.00000	0.03030	
6	and			0.06061	0.00000	0.00000	
76	orange			0.03030	1.00000	0.03030	
77	blossom			0.03030	1.00000	0.03030	
78	start			0.03030	1.00000	0.03030	
79	off			0.03030	0.69897	0.02118	
9	the			0.06061	0.22185	0.01345	
0	aromas			0.03030	0.39794	0.01206	
10	palate			0.03030	0.52288	0.01584	
23	is			0.03030	0.52288	0.01584	
26	a			0.06061	0.15490	0.00939	
80	bit			0.03030	1.00000	0.03030	
81	more			0.03030	1.00000	0.03030	
82	opulent			0.03030	1.00000	0.03030	
38	with			0.03030	0.04576	0.00139	
83	notes			0.03030	0.69897	0.02118	
58	of			0.03030	0.15490	0.00469	
84	honey-drizzled		0.03030	1.00000	0.03030	
85	guava			0.03030	1.00000	0.03030	
86	mango			0.03030	1.00000	0.03030	
87	giving			0.03030	1.00000	0.03030	
88	way			0.03030	1.00000	0.03030	
89	to			0.03030	0.52288	0.01584	
90	slightly		0.03030	1.00000	0.03030	
91	astringent		0.03030	1.00000	0.03030	
92	semidry			0.03030	1.00000	0.03030	
93	finish			0.03030	0.69897	0.02118	


Documento 4:
Índice	Término			TF	IDF	TF-IDF
94	much			0.02439	0.69897	0.01705	
95	like			0.02439	1.00000	0.02439	
9	the			0.02439	0.22185	0.00541	
96	regular			0.02439	1.00000	0.02439	
97	bottling		0.02439	1.00000	0.02439	
53	from			0.02439	0.69897	0.01705	
98	2012			0.02439	1.00000	0.02439	
