Documento 0:
Índice	Término			TF	IDF	TF-IDF
0	this			0.03125	0.09691	0.00303	
1	is			0.03125	0.30103	0.00941	
2	a			0.09375	0.09691	0.00909	
3	dry			0.03125	0.69897	0.02184	
4	wine			0.06250	0.52288	0.03268	
5	very			0.03125	1.00000	0.03125	
6	spicy			0.03125	1.00000	0.03125	
7	with			0.09375	0.09691	0.00909	
8	tight			0.03125	1.00000	0.03125	
9	taut			0.03125	1.00000	0.03125	
10	texture			0.03125	1.00000	0.03125	
11	and			0.03125	0.00000	0.00000	
12	strongly		0.03125	1.00000	0.03125	
13	mineral			0.03125	1.00000	0.03125	
14	character		0.03125	0.69897	0.02184	
15	layered			0.03125	1.00000	0.03125	
16	citrus			0.03125	1.00000	0.03125	
17	as			0.06250	1.00000	0.06250	
18	well			0.03125	1.00000	0.03125	
19	pepper			0.03125	0.52288	0.01634	
20	it's			0.03125	0.69897	0.02184	
21	food			0.03125	1.00000	0.03125	
22	its			0.03125	1.00000	0.03125	
23	almost			0.03125	1.00000	0.03125	
24	crisp			0.03125	1.00000	0.03125	
25	aftertaste		0.03125	1.00000	0.03125	


Documento 1:
Índice	Término			TF	IDF	TF-IDF
26	slightly		0.03571	0.69897	0.02496	
27	reduced			0.03571	1.00000	0.03571	
0	this			0.03571	0.09691	0.00346	
4	wine			0.03571	0.52288	0.01867	
28	offers			0.03571	1.00000	0.03571	
2	a			0.03571	0.09691	0.00346	
29	chalky			0.03571	1.00000	0.03571	
30	tannic			0.03571	0.69897	0.02496	
31	backbone		0.03571	1.00000	0.03571	
32	to			0.03571	0.39794	0.01421	
33	an			0.03571	1.00000	0.03571	
34	otherwise		0.03571	1.00000	0.03571	
35	juicy			0.03571	0.69897	0.02496	
36	explosion		0.03571	1.00000	0.03571	
37	of			0.03571	0.22185	0.00792	
38	rich			0.03571	1.00000	0.03571	
39	black			0.03571	0.69897	0.02496	
40	cherry			0.03571	0.69897	0.02496	
41	the			0.03571	0.09691	0.00346	
42	whole			0.03571	1.00000	0.03571	
43	accented		0.03571	1.00000	0.03571	
44	throughout		0.03571	1.00000	0.03571	
45	by			0.03571	0.30103	0.01075	
46	firm			0.03571	1.00000	0.03571	
47	oak			0.03571	0.39794	0.01421	
11	and			0.03571	0.00000	0.00000	
48	cigar			0.03571	0.69897	0.02496	
49	box			0.03571	0.69897	0.02496	


Documento 2:
Índice	Término			TF	IDF	TF-IDF
0	this			0.02703	0.09691	0.00262	
1	is			0.02703	0.30103	0.00814	
50	dominated		0.02703	1.00000	0.02703	
45	by			0.02703	0.30103	0.00814	
47	oak			0.02703	0.39794	0.01076	
11	and			0.08108	0.00000	0.00000	
51	oak-driven		0.02703	0.69897	0.01889	
52	aromas			0.02703	0.22185	0.00600	
53	that			0.05405	0.52288	0.02826	
54	include			0.02703	1.00000	0.02703	
55	roasted			0.02703	1.00000	0.02703	
56	coffee			0.02703	1.00000	0.02703	
57	bean			0.02703	1.00000	0.02703	
58	espresso		0.02703	1.00000	0.02703	
59	coconut			0.02703	1.00000	0.02703	
60	vanilla			0.02703	0.69897	0.01889	
61	carry			0.02703	0.69897	0.01889	
62	over			0.02703	0.69897	0.01889	
32	to			0.02703	0.39794	0.01076	
41	the			0.02703	0.09691	0.00262	
63	palate			0.02703	0.30103	0.00814	
64	together		0.02703	1.00000	0.02703	
